Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	Other
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	Other
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	Other
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	Transportation
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	Other
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	ParriniDario	Parrini, Dario	M	1973	Other
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Regular	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	IannoneAntonio	Iannone, Antonio	M	1975	Other
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	Other
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Regular	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	IannoneAntonio	Iannone, Antonio	M	1975	Government Operations
ParlaMint-IT-en_2022-06-20-LEG18-Senato-sed-442	ParlaMint-IT_2022-06-20-LEG18-Senato-sed-442.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 442, Day (2022-06-20)	2022-06-20	Upper house	18 Legislatura	-	-	442 Seduta	-	COVID,War	English	Chairperson	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	LaRussaIgnazio	La Russa, Ignazio	M	1947	Other
